idtweet,texto,data_tweet,emocao,emocaoId,quant_pessoa,classificador,classificadorId
1126587114987114496,tiraamaodomeuif,1614246646942,nulo,6,2,Sem emoção,0
1134239985618620416,30mpelaeducacao,1614246646812,nulo,6,1,Sem emoção,0
1132785816449757184,brasilnasruas,1614246646978,nulo,6,1,Sem emoção,0
1128842279626711041,preciso deixar registro desse momento inesquecivel nessa rede orgulho define tsunamidaeducacao tiraamaodaminhafederal tiraamaodomeuif,1614246646866,alegria,0,1,Com emoção,2
1133845017926262784,atencao brasil amanha feriado escolar dia30meufilhonaovai,1614246646994,raiva,3,1,Com emoção,2
1134229801886203905,30m riodejaneiro gigante livreeeee,1614246646950,alegria,0,1,Com emoção,2
1134229801886203905,30m riodejaneiro gigante livreeeee,1614246646950,medo,2,1,Com emoção,2
1132883054647742465,escrito antes manifestacoes ato jair bolsonaro psc rj revela governo vai mal cinco meses presidente destruiu bases apoio rt the intercept brasil brasilnasruas,1614246646856,nulo,6,1,Sem emoção,0
1160927010572648448,amanha 13 agosto acontece 3a mobilizacao nacional defesa educacao curitiba ato comeca 18h praca santos andrade vamos ruas educacao publica amanhaerua tsunami13a dia13erua,1614246646966,alegria,0,1,Com emoção,2
1160927010572648448,amanha 13 agosto acontece 3a mobilizacao nacional defesa educacao curitiba ato comeca 18h praca santos andrade vamos ruas educacao publica amanhaerua tsunami13a dia13erua,1614246646966,raiva,3,1,Com emoção,2
1128851330041307143,todospelaeducacao tsunamidaeducacao pode anotar medida provisoria 8702019 vai conseguir passar todo tramite virar lei vai perder forca vai obrigar governo gastar vai jogar pa cal,1614246646959,raiva,3,1,Com emoção,2
1128851330041307143,todospelaeducacao tsunamidaeducacao pode anotar medida provisoria 8702019 vai conseguir passar todo tramite virar lei vai perder forca vai obrigar governo gastar vai jogar pa cal,1614246646959,tristeza,4,1,Com emoção,2
1128851330041307143,todospelaeducacao tsunamidaeducacao pode anotar medida provisoria 8702019 vai conseguir passar todo tramite virar lei vai perder forca vai obrigar governo gastar vai jogar pa cal,1614246646959,nulo,6,1,Sem emoção,0
1133842513125679107,dia30meufilhonaovai,1614246646781,nulo,6,1,Sem emoção,0
1134224752317554694,30mpelaeducacao,1614246646965,nulo,6,1,Sem emoção,0
1134230928954445824,dia30seufilhofoi tbm 30mpelaeducacao,1614246646811,alegria,0,1,Com emoção,2
1133874418294431745,dia30meufilhonaovai aula,1614246646889,nulo,6,1,Sem emoção,0
1161483841070141440,concentracao aconteceu centro cultural glauber rocha bairro brasil 14h ato faz parte greve nacional educacao chegou fim praca 9 novembro centro volta 17h30 contraareformadaprevidencia educacao tsunami13deagosto tsunami13a,1614246646890,nulo,6,1,Sem emoção,0
1134217645555945472,comecou santossp 30mpelaeducacao 30m tsunami30m,1614246646938,nulo,6,1,Sem emoção,0
1128731588366405632,aproveitando todospelaeducacao naruapelaeducacao tsunamidaeducacao indico novamente leitura artigo entendendo bolsonaro publicado hoje evitaveis cortes educacao ciencia cobrarao alto preco social via,1614246646980,nulo,6,1,Sem emoção,0
1126079469247180802,4 y asi andres velasquez y simon calzadilla el 30m desde el distribuidoraltamira 2 le allanaron la inmunidad parlamentaria aqui estanos liberar pais fuerza velasquez la calle calzadilla lo abraza maxima presion asi es,1614246646925,nulo,6,1,Sem emoção,0
1144239232619294720,precisamos unir focar incansavelmente congresso suprema corte precisamos sim fazer trabalho informacao daqueles dependem manipulacao extremaimprensa midia psolista brasilnasruas jamais visto,1614246646825,alegria,0,1,Com emoção,2
1132786725942693889,brasilnasruas,1614246646993,nulo,6,2,Sem emoção,0
1133840375288934400,vao podem perigosos dia30meufilhonaovai,1614246646821,alegria,0,1,Com emoção,2
1133840375288934400,vao podem perigosos dia30meufilhonaovai,1614246646821,nulo,6,1,Sem emoção,0
1133785174326554625,30mpelaeducacao todos,1614246646798,alegria,0,1,Com emoção,2
1133404542576582656,justo todos contraareformadaprevidencia defensores reforma maia onyx abrem mao aposentadoria especial via,1614246646934,alegria,0,1,Com emoção,2
1128840641096683520,contra qualquer corte educacao digo tsunamidaeducacao todospelaeducacao orgulhodeserufs,1614246646890,alegria,0,2,Com emoção,2
1161272934817849344,13a estudantes protestam hoje contra projetos bloqueios educacao,1614246646894,alegria,0,1,Com emoção,2
1128858666613002240,todospelaeducacao,1614246646950,nulo,6,1,Sem emoção,0
1132984688891633665,enquanto pensam lagostas camaroes vinhos premiados internacionalmente whisky 18 anos aposentadorias 8 anos privilegios absurdos certeza muitas mesas ficam arroz ovo brasilnasruas,1614246646847,raiva,3,1,Com emoção,2
1132984688891633665,enquanto pensam lagostas camaroes vinhos premiados internacionalmente whisky 18 anos aposentadorias 8 anos privilegios absurdos certeza muitas mesas ficam arroz ovo brasilnasruas,1614246646847,tristeza,4,1,Com emoção,2
1132984688891633665,enquanto pensam lagostas camaroes vinhos premiados internacionalmente whisky 18 anos aposentadorias 8 anos privilegios absurdos certeza muitas mesas ficam arroz ovo brasilnasruas,1614246646847,ironia,5,1,Com ironia,1
1132788050285727744,tenta desconstruir manifestacoes n vou postar imagens paulista populosas capitais brasileirasdeixo representatividade imagem vitoria espirito santo representara bem manifestacoes desse domingobrasilnasruas,1614246646933,raiva,3,1,Com emoção,2
1134149767628562439,falta respeito unica camisa cores brasil queimada crime nenhuma bandeira pais vergonha nojo dessa ptzada dia30euvoutrabalhar dia30meufilhonaovai,1614246646792,raiva,3,1,Com emoção,2
1128440806770130944,deu 10 minutos ai tsunamidaeducacao,1614246646982,ironia,5,1,Com ironia,1
1161159974959099904,dia internacional del zurdo felizdiadelzurdo happylefthanderday deizquierdaspato yosoyzurda 13a 13agosto 13thaugust,1614246646941,alegria,0,1,Com emoção,2
1161159974959099904,dia internacional del zurdo felizdiadelzurdo happylefthanderday deizquierdaspato yosoyzurda 13a 13agosto 13thaugust,1614246646941,amor,1,1,Com emoção,2
1129015611785437184,favoritas 15m tsunamidaeducacao forabolsonaro foraweintraub todospelaeducacao,1614246646774,alegria,0,1,Com emoção,2
